t 1 2 jV0100 
4.38e-05 5 4.54393 -0.456066
4.39e-05 5 4.54393 -0.456066
4.4e-05 5 4.54393 -0.456066
4.41e-05 5 4.54393 -0.456066
4.42e-05 5 4.54393 -0.456066
4.43e-05 5 4.54393 -0.456066
4.44e-05 5 4.54393 -0.456066
4.45e-05 5 4.54393 -0.456066
4.46e-05 5 4.54393 -0.456066
4.47e-05 5 4.54393 -0.456066
4.48e-05 5 4.54393 -0.456066
4.49e-05 5 4.54393 -0.456066
4.5e-05 5 4.54393 -0.456066
4.51e-05 5 4.54393 -0.456066
4.52e-05 5 4.54393 -0.456066
4.53e-05 5 4.54393 -0.456066
4.54e-05 5 4.54393 -0.456066
4.55e-05 5 4.54393 -0.456066
4.56e-05 5 4.54393 -0.456066
4.57e-05 5 4.54393 -0.456066
4.58e-05 5 4.54393 -0.456066
4.59e-05 5 4.54393 -0.456066
4.6e-05 5 4.54393 -0.456066
4.61e-05 5 4.54393 -0.456066
4.62e-05 5 4.54393 -0.456066
4.63e-05 5 4.54393 -0.456066
4.64e-05 5 4.54393 -0.456066
4.65e-05 5 4.54393 -0.456066
4.66e-05 5 4.54393 -0.456066
4.67e-05 5 4.54393 -0.456066
4.68e-05 5 4.54393 -0.456066
4.69e-05 5 4.54393 -0.456066
4.7e-05 5 4.54393 -0.456066
4.71e-05 5 4.54393 -0.456066
4.72e-05 5 4.54393 -0.456066
4.73e-05 5 4.54393 -0.456066
4.74e-05 5 4.54393 -0.456066
4.75e-05 5 4.54393 -0.456066
4.76e-05 5 4.54393 -0.456066
4.77e-05 5 4.54393 -0.456066
4.78e-05 5 4.54393 -0.456066
4.79e-05 5 4.54393 -0.456066
4.8e-05 5 4.54393 -0.456066
4.81e-05 5 4.54393 -0.456066
4.82e-05 5 4.54393 -0.456066
4.83e-05 5 4.54393 -0.456066
4.84e-05 5 4.54393 -0.456066
4.85e-05 5 4.54393 -0.456066
4.86e-05 5 4.54393 -0.456066
4.87e-05 5 4.54393 -0.456066
4.88e-05 5 4.54393 -0.456066
4.89e-05 5 4.54393 -0.456066
4.9e-05 5 4.54393 -0.456066
4.91e-05 5 4.54393 -0.456066
4.92e-05 5 4.54393 -0.456066
4.93e-05 5 4.54393 -0.456066
4.94e-05 5 4.54393 -0.456066
4.95e-05 5 4.54393 -0.456066
4.96e-05 5 4.54393 -0.456066
4.97e-05 5 4.54393 -0.456066
4.98e-05 5 4.54393 -0.456066
4.99e-05 5 4.54393 -0.456066
5e-05 5 4.54393 -0.456066
5.01e-05 5 4.54393 -0.456066
5.02e-05 5 4.54393 -0.456066
5.03e-05 5 4.54393 -0.456066
5.04e-05 5 4.54393 -0.456066
5.05e-05 5 4.54393 -0.456066
5.06e-05 5 4.54393 -0.456066
5.07e-05 5 4.54393 -0.456066
5.08e-05 5 4.54393 -0.456066
5.09e-05 5 4.54393 -0.456066
5.1e-05 5 4.54393 -0.456066
5.11e-05 5 4.54393 -0.456066
5.12e-05 5 4.54393 -0.456066
5.13e-05 5 4.54393 -0.456066
5.14e-05 5 4.54393 -0.456066
5.15e-05 5 4.54393 -0.456066
5.16e-05 5 4.54393 -0.456066
5.17e-05 5 4.54393 -0.456066
5.18e-05 5 4.54393 -0.456066
5.19e-05 5 4.54393 -0.456066
5.2e-05 5 4.54393 -0.456066
5.21e-05 5 4.54393 -0.456066
5.22e-05 5 4.54393 -0.456066
5.23e-05 5 4.54393 -0.456066
5.24e-05 5 4.54393 -0.456066
5.25e-05 5 4.54393 -0.456066
5.26e-05 5 4.54393 -0.456066
5.27e-05 5 4.54393 -0.456066
5.28e-05 5 4.54393 -0.456066
5.29e-05 5 4.54393 -0.456066
5.3e-05 5 4.54393 -0.456066
5.31e-05 5 4.54393 -0.456066
5.32e-05 5 4.54393 -0.456066
5.33e-05 5 4.54393 -0.456066
5.34e-05 5 4.54393 -0.456066
5.35e-05 5 4.54393 -0.456066
5.36e-05 5 4.54393 -0.456066
5.37e-05 5 4.54393 -0.456066
5.38e-05 5 4.54393 -0.456066
5.39e-05 5 4.54393 -0.456066
5.4e-05 5 4.54393 -0.456066
5.41e-05 5 4.54393 -0.456066
5.42e-05 5 4.54393 -0.456066
5.43e-05 5 4.54393 -0.456066
5.44e-05 5 4.54393 -0.456066
5.45e-05 5 4.54393 -0.456066
5.46e-05 5 4.54393 -0.456066
5.47e-05 5 4.54393 -0.456066
5.48e-05 5 4.54393 -0.456066
5.49e-05 5 4.54393 -0.456066
5.5e-05 5 4.54393 -0.456066
5.51e-05 5 4.54393 -0.456066
5.52e-05 5 4.54393 -0.456066
5.53e-05 5 4.54393 -0.456066
5.54e-05 5 4.54393 -0.456066
5.55e-05 5 4.54393 -0.456066
5.56e-05 5 4.54393 -0.456066
5.57e-05 5 4.54393 -0.456066
5.58e-05 5 4.54393 -0.456066
5.59e-05 5 4.54393 -0.456066
5.6e-05 5 4.54393 -0.456066
5.61e-05 5 4.54393 -0.456066
5.62e-05 5 4.54393 -0.456066
5.63e-05 5 4.54393 -0.456066
5.64e-05 5 4.54393 -0.456066
5.65e-05 5 4.54393 -0.456066
5.66e-05 5 4.54393 -0.456066
5.67e-05 5 4.54393 -0.456066
5.68e-05 5 4.54393 -0.456066
5.69e-05 5 4.54393 -0.456066
5.7e-05 5 4.54393 -0.456066
5.71e-05 5 4.54393 -0.456066
5.72e-05 5 4.54393 -0.456066
5.73e-05 5 4.54393 -0.456066
5.74e-05 5 4.54393 -0.456066
5.75e-05 5 4.54393 -0.456066
5.76e-05 5 4.54393 -0.456066
5.77e-05 5 4.54393 -0.456066
5.78e-05 5 4.54393 -0.456066
5.79e-05 5 4.54393 -0.456066
5.8e-05 5 4.54393 -0.456066
5.81e-05 5 4.54393 -0.456066
5.82e-05 5 4.54393 -0.456066
5.83e-05 5 4.54393 -0.456066
5.84e-05 5 4.54393 -0.456066
5.85e-05 5 4.54393 -0.456066
5.86e-05 5 4.54393 -0.456066
