f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f 12m 12f 13m 13f 14m 14f 15m 15f 16m 16f jL0102m jL0102f jV1400m jV1400f jV1600m jV1600f jV0300m jV0300f jV1100m jV1100f 
3.94421 0.5 -0.451974 0.5 3.51552e-06 1 0 0.452046 179.615 0.46437 -179.969 0.506293 -0.223092 0.5 179.548 0.500004 -0.225989 0.5 -180 0.5 -0.451974 1 -0 0.500004 179.774 0.403612 -0.38451 1 -0 0.452047 179.777 0 0 0.000300002 179.774 3.16802e-13 -89.9984 1.13816e-07 -91.0303 0.0003 180 0 0 
4.03702 0.5 -0.46261 0.5 3.76957e-06 1 0 0.452046 179.606 0.46437 -179.968 0.506293 -0.228341 0.5 179.537 0.500004 -0.231307 0.5 -180 0.5 -0.46261 1 -0 0.500004 179.769 0.403612 -0.393558 1 -0 0.452047 179.772 0 0 0.000300002 179.769 3.24256e-13 -89.9984 1.16495e-07 -91.0387 0.0003 180 0 0 
4.13201 0.5 -0.473495 0.5 4.04198e-06 1 0 0.452046 179.597 0.464371 -179.968 0.506293 -0.233715 0.5 179.527 0.500004 -0.23675 0.5 -180 0.5 -0.473495 1 -0 0.500004 179.763 0.403612 -0.402819 1 -0 0.452048 179.766 0 0 0.000300003 179.763 3.31887e-13 -89.9984 1.19237e-07 -91.0477 0.0003 180 0 0 
4.22924 0.5 -0.484637 0.5 4.33407e-06 1 0 0.452046 179.588 0.464371 -179.967 0.506293 -0.239214 0.5 179.515 0.500004 -0.242321 0.5 -180 0.5 -0.484637 1 -0 0.500004 179.758 0.403612 -0.412298 1 -0 0.452048 179.761 0 0 0.000300003 179.758 3.39696e-13 -89.9983 1.22043e-07 -91.0573 0.0003 180 0 0 
4.32876 0.5 -0.496041 0.5 4.64727e-06 1 0 0.452045 179.578 0.464371 -179.966 0.506293 -0.244843 0.5 179.504 0.500005 -0.248023 0.5 -180 0.5 -0.496041 1 -0 0.500005 179.752 0.403612 -0.422 1 -0 0.452048 179.755 0 0 0.000300003 179.752 3.4769e-13 -89.9983 1.24916e-07 -91.0674 0.0003 180 0 0 
4.43062 0.5 -0.507714 0.5 4.98311e-06 1 0 0.452045 179.568 0.464371 -179.965 0.506293 -0.250605 0.5 179.492 0.500005 -0.253859 0.5 -180 0.5 -0.507714 1 -0 0.500005 179.746 0.403612 -0.43193 1 -0 0.452048 179.749 0 0 0.000300003 179.746 3.55871e-13 -89.9982 1.27856e-07 -91.0781 0.0003 180 0 0 
4.53488 0.5 -0.519661 0.5 5.34322e-06 1 0 0.452045 179.558 0.464371 -179.965 0.506294 -0.256502 0.5 179.48 0.500005 -0.259833 0.5 -180 0.5 -0.519661 1 -0 0.500005 179.74 0.403612 -0.442094 1 -0 0.452048 179.743 0 0 0.000300003 179.74 3.64245e-13 -89.9982 1.30865e-07 -91.0894 0.0003 180 0 0 
4.64159 0.5 -0.531889 0.5 5.72935e-06 1 0 0.452045 179.548 0.464371 -179.964 0.506294 -0.262538 0.5 179.468 0.500005 -0.265947 0.5 -180 0.5 -0.531889 1 -0 0.500005 179.734 0.403612 -0.452497 1 -0 0.452048 179.737 0 0 0.000300003 179.734 3.72816e-13 -89.9982 1.33945e-07 -91.1013 0.0003 180 0 0 
4.75081 0.5 -0.544405 0.5 6.14338e-06 1 0 0.452045 179.537 0.464371 -179.963 0.506294 -0.268715 0.5 179.456 0.500006 -0.272206 0.5 -180 0.5 -0.544405 1 -0 0.500006 179.728 0.403612 -0.463145 1 -0 0.452048 179.731 0 0 0.000300003 179.728 3.81589e-13 -89.9981 1.37098e-07 -91.1137 0.0003 180 0 0 
4.8626 0.5 -0.557216 0.5 6.58733e-06 1 0 0.452045 179.526 0.464372 -179.962 0.506294 -0.275039 0.5 179.443 0.500006 -0.278611 0.5 -180 0.5 -0.557216 1 -0 0.500006 179.721 0.403612 -0.474043 1 -0 0.452048 179.725 0 0 0.000300004 179.721 3.90568e-13 -89.9981 1.40325e-07 -91.1268 0.0003 180 0 0 
4.97702 0.5 -0.570328 0.5 7.06336e-06 1 0 0.452045 179.515 0.464372 -179.961 0.506294 -0.281511 0.5 179.43 0.500006 -0.285167 0.5 -180 0.5 -0.570328 1 -0 0.500006 179.715 0.403612 -0.485198 1 -0 0.452048 179.718 0 0 0.000300004 179.715 3.99759e-13 -89.998 1.43628e-07 -91.1405 0.0003 180 0 0 
