f 1m 1f 2m 2f 3m 3f 4m 4f 5m 5f 6m 6f 7m 7f 8m 8f 9m 9f 10m 10f 11m 11f jL0200m jL0200f jL0110m jL0110f jL0800m jL0800f jV0300m jV0300f jV1000m jV1000f jV0700m jV0700f jV1100m jV1100f jV0900m jV0900f 
400 9.99968 -0.46079 2.43747 75.8922 10 -0 7.6323 40.2502 1.99373 105.832 9.93096 -6.73678 10 -0 2.61223 65.582 10 -0 10 -0 10 -0 0.000969839 -14.1078 0.000999968 179.539 0.00103937 -24.418 0.000969839 165.892 0.000999968 179.539 0.00117308 -96.7368 0.00076323 -139.75 0.000923181 165.069
410 9.99966 -0.472309 2.49466 75.5541 10 -0 7.71025 39.554 2.0577 104.37 9.9275 -6.9036 10 -0 2.66879 64.8156 10 -0 10 -0 10 -0 0.000968384 -14.4459 0.000999966 179.528 0.00103598 -25.1844 0.000968384 165.554 0.000999966 179.528 0.00120199 -96.9036 0.000771025 -140.446 0.000918745 164.76
420 9.99964 -0.483828 2.55159 75.217 10 -0 7.78487 38.8777 2.12078 102.932 9.92396 -7.07029 10 -0 2.72423 64.0541 10 -0 10 -0 10 -0 0.000966899 -14.783 0.000999964 179.516 0.00103232 -25.9459 0.000966899 165.217 0.000999964 179.516 0.00123087 -97.0703 0.000778487 -141.122 0.000914238 164.458
430 9.99963 -0.495348 2.60825 74.881 10 -0 7.85634 38.2206 2.18291 101.519 9.92034 -7.23687 10 -0 2.77853 63.298 10 -0 10 -0 10 -0 0.000965386 -15.119 0.000999963 179.505 0.00102841 -26.702 0.000965386 164.881 0.000999963 179.505 0.00125972 -97.2369 0.000785634 -141.779 0.000909668 164.165
440 9.99961 -0.506867 2.66465 74.546 10 -0 7.92479 37.5822 2.24405 100.13 9.91664 -7.40332 10 -0 2.83168 62.5481 10 -0 10 -0 10 -0 0.000963845 -15.454 0.000999961 179.493 0.00102426 -27.4519 0.000963845 164.546 0.000999961 179.493 0.00128853 -97.4033 0.000792479 -142.418 0.000905042 163.88
450 9.99959 -0.518386 2.72077 74.2121 10 -0 7.99038 36.9617 2.30416 98.7664 9.91285 -7.56965 10 -0 2.88366 61.8048 10 -0 10 -0 10 -0 0.000962275 -15.7879 0.000999959 179.482 0.00101989 -28.1952 0.000962275 164.212 0.000999959 179.482 0.00131731 -97.5696 0.000799038 -143.038 0.000900368 163.604
460 9.99957 -0.529905 2.77662 73.8793 10 -0 8.05323 36.3585 2.36321 97.4271 9.90899 -7.73585 10 -0 2.93448 61.0686 10 -0 10 -0 10 -0 0.000960679 -16.1207 0.000999957 179.47 0.0010153 -28.9314 0.000960679 163.879 0.000999957 179.47 0.00134606 -97.7358 0.000805323 -143.641 0.000895652 163.337
470 9.99955 -0.541424 2.83218 73.5476 10 -0 8.11348 35.7722 2.42117 96.112 9.90505 -7.90192 10 -0 2.98413 60.3399 10 -0 10 -0 10 -0 0.000959055 -16.4524 0.000999955 179.459 0.00101051 -29.6601 0.000959055 163.548 0.000999955 179.459 0.00137478 -97.9019 0.000811348 -144.228 0.000890903 163.078
480 9.99953 -0.552943 2.88747 73.2171 10 -0 8.17125 35.202 2.47802 94.8211 9.90103 -8.06785 10 -0 3.03261 59.6191 10 -0 10 -0 10 -0 0.000957406 -16.7829 0.000999953 179.447 0.00100553 -30.3809 0.000957406 163.217 0.000999953 179.447 0.00140346 -98.0679 0.000817125 -144.798 0.000886127 162.828
490 9.99951 -0.564462 2.94246 72.8877 10 -0 8.22666 34.6474 2.53374 93.5541 9.89692 -8.23365 10 -0 3.07992 58.9066 10 -0 10 -0 10 -0 0.00095573 -17.1123 0.000999951 179.436 0.00100038 -31.0934 0.00095573 162.888 0.000999951 179.436 0.0014321 -98.2337 0.000822666 -145.353 0.000881331 162.587
